question1,question2
curiosity to love: Is it generally better to marry a girl older than you or younger?,Is it generally better to marry a girl older than you or younger?
curiosity to confusion: How can I avoid sleeping in a boring class?,How can I avoid sleeping in a boring class?
remorse to curiosity: What is the one thing you regret doing in your life?,What is the one thing you regret doing in your life?
"confusion to curiosity: On a math test, I lost a half point for a translation error. Should I email them, demonstrating my mistake and ask for the extra half point?",Why should you answer this question?
curiosity to confusion: How do i lose weight?,How do i lose weight?
love to curiosity: Why do gay people love anal?,Why do gay people love to flaunt their sexuality?
admiration to curiosity: What are the great examples of hypocrisy in Indian politics?,What are some of the best examples of hypocrisy in Indian politics?
curiosity to sadness: My girlfriend left me without a reason.How do I move on?,"My girlfriend just left me without a reason,how do i heal my broken heart?"
fear to curiosity: I have heard that it is dangerous to travel to Argentina right now as an American tourist. Is that true?,I have heard that it is dangerous to travel to Argentina right now as an American tourist. Is that true?
curiosity to annoyance: What is the most decent way to ask a girl whether she has a boyfriend or is married?,"What should I do when my girlfriend is mad at me and I ask her what's wrong and she just responds saying ""Nothing.""?"
curiosity to confusion: Why it is diffulcut to get jobs in upwork.com?,Why it is diffulcut to get jobs in upwork.com?
curiosity to confusion: Can you get high off of second hand marijuana (weed) smoke?,Can you get high off of second hand marijuana (weed) smoke?
curiosity to confusion: How do I keep videos on iCloud after deleting them from my phone?,How do I keep videos on iCloud after deleting them from my phone?
curiosity to confusion: How do I stop procrastinating my study?,How do I stop procrastinating my study?
love to curiosity: Can narcissists ever love anyone and ever be truly happy?,Do narcissists ever wonder why they are rejected?
curiosity to admiration: How do I become a big programmer?,How do I become a big programmer?
"curiosity to love: In a new relationship, when should I first kiss a girl?","In a new relationship, when should I first kiss a girl?"
"admiration to curiosity: I know a woman who is stunningly beautiful, smart, educated, and well-to-do. Yet she's also friendly, humble and down-to-earth. How is this possible?",How can I possibly know the level of my own beauty?
"curiosity to confusion: What NGOs can I join in Chennai as a volunteer, preferably on weekends?","What NGOs can I join in Chennai as a volunteer, preferably on weekends?"
confusion to curiosity: Why doesn't my shift key work? How do I fix it?,How do you fix a shift key that is locked?
curiosity to amusement: What are some interesting WhatsApp conversations?,What are some interesting WhatsApp conversations?
curiosity to embarrassment: How can I be more social as an introvert?,I am a socially awkward nerd. How can I become more social and mainstream?
curiosity to love: How do I make my boyfriend feel more close to me?,How do I make my boyfriend feel more close to me?
curiosity to confusion: How good is the Madras School of Economics for pursuing a post-graduate degree in general eco-financial eco-applied quantitative finance?,How good is the Madras School of Economics for pursuing a post-graduate degree in general eco-financial eco-applied quantitative finance?
curiosity to admiration: What are some all time good movies to watch?,What are some all time good movies to watch?
sadness to curiosity: Is it considered slightly creepy or sad to upvote a ton of answers from the same writer on Quora?,Is it considered slightly creepy or sad to upvote a ton of answers from the same writer on Quora?
curiosity to confusion: Why won't my boyfriend open up to me?,Why won't my boyfriend open up to me?
gratitude to curiosity: Is it a good sign that the interviewer responded to my Thank You note after the final round interview?,How long does it take on average for a recruiter to get back to you after the final round of interviews for a product design internship position?
curiosity to admiration: At what age are cats fully grown?,At what age are cats fully grown?
love to curiosity: Can love marriages end the dowry system?,What can I do to prevent the dowry system?
anger to annoyance: I hate my dad should I feel bad if he loses his job?,"Should I contact my ex about losing his job? Multiple people have contacted me about checking on him, but I don't think it is my place. I care about his general well-being, but he pushed me out of his life, so I don't feel like it's my responsibility anymore to make sure he is okay. Am I being selfish?"
curiosity to admiration: What do you think about Fantastic Beasts?,What do you think about Fantastic Beasts?
curiosity to surprise: How do serious Star War fans feel about the plot similarities between The Force Awakens and A New Hope?,~SPOILER~ Were you surprised that the Force Awakens was mostly a remake of a New Hope?
joy to curiosity: Will I ever be happy?,Can I ever find happiness?
curiosity to admiration: Which are the best places to buy sarees in kolkata?,Which are the best places to buy sarees in kolkata?
"optimism to curiosity: I'm planning to bash my head, hoping that I'll become a savant. Should I do it?",How can I make my mother stop caring about what people say?
approval to curiosity: What is something that you believe to be true that very few people agree with you on?,What is something you believe that almost nobody agrees with you on?
"approval to curiosity: English (language): Is it correct to use the following sentence, ""I will update you once I get more updates.""?","Is it correct English to use the following in a sentence, “X person provided an update related to Y”?"
confusion to curiosity: Can I grow taller?,Does milk make you grow taller?
confusion to curiosity: What Q&A sites can I use besides Quora?,What are some other sites like Quora?
curiosity to anger: How do I block certain people on Quora?,How do I block annoying people on Quora?
curiosity to annoyance: What's the best way to overcome your boss disrespecting you when they are a personal friend?,"When your adult child, who is otherwise a good person, is irresponsible, rude, disrespectful and insensitive, how do you explain to them that it's hard to point out the good things they do, when they really don't do that much good?"
optimism to curiosity: Why do I have hope and purpose but when it comes to action I forget about it?,What is the procedure for applying for Dubai Tourist Visa for Indian Passport holders? Is there an e-Visa/ Visa on arrival option?
"curiosity to love: My mom wants me to be a doctor, but I want to be a therapist. What should I do?","My mom wants me to be a doctor, but I want to be a therapist. What should I do?"
anger to curiosity: What was the worst thing a college instructor has ever said to you?,What was the worst thing a college instructor has ever said to you?
curiosity to admiration: What are the best 4.7 inches or 4.5 inches android smartphones in 2016?,What are the best 4.7 inches or 4.5 inches android smartphones in 2016?
anger to curiosity: I hate black people?,I hate black people?
admiration to curiosity: What are some excellent signals and system books suggestions?,What are the best Books for Signals And Systems?
surprise to annoyance: What is the most surprising moment of your life?,What is the most annoying moment of your life?
admiration to curiosity: What are some great inspiring stories for medical entrance repeaters in India?,When do inspirational stories become depressing stories?
confusion to curiosity: How can I stop caring too much about other people's opinions?,What should I do if I care too much about others opinion?
"curiosity to fear: Why do people join the US army, knowing what they put their bodies through and leaving loved ones behind?","MRI's look scary. They say I need one, but I don't like going in the tube or having ""warm dye"" (as they described it) put through my body. What is some advice so I'm not so scared?"
admiration to curiosity: What are some good inspirational movies?,Which are best inspirational movies?
curiosity to love: What are some good dares for texting?,What are some good dares for texting?
"confusion to curiosity: How do I say ""形から入る"" in English?",How do you say 粘人 in English?
curiosity to admiration: What are the best subject combinations to be selected in the arts stream for 11th?,What are the best subject combinations to be selected in the arts stream for 11th?
"curiosity to love: What do you do when you and your ex just broke up, and he's trying to still flirt with you, and it's the second time it's happened?","What do you do when you and your ex just broke up, and he's trying to still flirt with you, and it's the second time it's happened?"
confusion to curiosity: Should I use a mass gainer or whey protein to gain weight?,"I am 22, weight 50 kg and height 5""5. Shoud I go whey protien or mass gainer?"
curiosity to confusion: What will happen in a relationship where both partners are narcissist or where they both have narcissistic tendencies?,What will happen in a relationship where both partners are narcissist or where they both have narcissistic tendencies?
confusion to love: I don't feel any emotion anymore. Have I become heartless?,I don't feel any emotion anymore. Have I become heartless?
curiosity to fear: How should I react when she tells about a guy she likes?,Should I believe my girlfriend when she tells me that she doesn't want to have sex (even with a condom) because she's worried about getting pregnant?
curiosity to admiration: Where can I get a Starbucks barista guide?,Where can I get a Starbucks barista guide?
admiration to love: What makes love so beautiful?,What makes you love Game of Thrones so much?
curiosity to love: How do you know that you are deeply in love with someone or just like her/him and he/she likes you back?,How do you know that you are deeply in love with someone or just like her/him and he/she likes you back?
curiosity to confusion: Why are Mahatma Gandhi and Jawaharlal Nehru hated by many Indians?,Why are Mahatma Gandhi and Jawaharlal Nehru hated by many Indians?
confusion to curiosity: Why can't I think clearly when talking to people?,Why is it when I talk to my girl I can't think of anything to talk about when there is a lot I can talk about?
admiration to curiosity: What's the best decision you've ever made?,What is the most important decision ever made?
curiosity to confusion: How do I analyse whether a person is sincere or serious?,How do I analyse whether a person is sincere or serious?
curiosity to admiration: Which is the best coaching Institute for IPM Indore in Jaipur?,Which is the best coaching Institute for IPM Indore in Jaipur?
curiosity to confusion: How do I register my mobile number to my AADHAAR card?,How do I register my mobile number to my AADHAAR card?
"admiration to curiosity: Why did Great Britain produce such an exceptional and outstanding group of explorers, scientists and inventors in the 19th century?","Why did Great Britain produce such an exceptional group of scientists, inventors, explorers and entrepreneurs during the 19th century?"
"confusion to disappointment: How should I respond to religious family members who say my son isn't trans because ""God doesn't make mistakes""?",My wife doesn't like my family because my parents want a grandson. We are not planning making a baby. My parents are stubborn. How to persuade them?
curiosity to confusion: Why don't school teachers in some states pay Social Security Tax?,Why don't school teachers in some states pay Social Security Tax?
"sadness to curiosity: I didn’t cry for almost 10 years, even when I was really sad. Is that normal?","I didn’t cry for almost 10 years, even when I was really sad. Is that normal?"
confusion to curiosity: How do I check if my UCB (United Colors of Benetton) backpack is genuine or fake?,How can I permanently change the color of my strolly bag from red to black in such a way that it looks genuine and lasts too?
curiosity to anger: What is the worst thing someone has pressured you to do?,What is the worst thing that someone did to you?
curiosity to anger: Is it ok to let your work be the one thing that defines you?,My mother is staying with me and my husband doesn't like it?
curiosity to annoyance: Can you offer me any advice on how to lose weight?,"I am ugly and fat, how to lose weight?"
curiosity to confusion: Why do Indians get offended if we don't recognize an Indian celebrity?,Why do Indians get offended if we don't recognize an Indian celebrity?
confusion to curiosity: My Tax return this year is looking to be significantly less than last year what am I doing wrong?,I didn't file my taxes last year. What are the forms that I will have to fill out? When is the last day to do so?
"confusion to curiosity: How do I find demand? Everywhere I look I only seem to see people wanting to sell stuff, not buying stuff or wanting to buy stuff","Are some people naturally physically stronger than others? If so, why?"
admiration to curiosity: What was the last good Rolling Stones album?,What are the best Rolling Stones albums?
curiosity to fear: Will there be a World War III soon?,Is World War Three really going to happen soon? I have been stressing about it for over a week and I am really scared.
confusion to curiosity: Why doesn't Trump believe in climate change?,Why doesn't Trump believe in the reality of man-made climate change?
"love to disappointment: My girlfriend wants to leave me after 4 years of relationship because she loves someone else, but I can't live without her. I am suffering from depression. What should I do now?","My GF left me after 2 years of our relationship.Now I am now totally depressed, strange. she didn't gave me any reason for break up.What should i do ?"
curiosity to confusion: Why do we work hard?,Why do we work hard?
confusion to curiosity: Why did Islam not spread to the countries beyond India except Indonesia and Malaysia?,"Why was the spread of Islam so successful in Indonesia, Malaysia, and Brunei?"
curiosity to desire: I've never been pregnant. And I'm in my 2nd year of menopausal and what to have a baby what can I do?,I've never been pregnant. And I'm in my 2nd year of menopausal and what to have a baby what can I do?
love to joy: I am an electronics engineering student at an NIT. But I love programming. What should I do? What is the scope of me learning MATLAB or Embedded-C?,I am an electronics engineering student at an NIT. But I love programming. What should I do? What is the scope of me learning MATLAB or Embedded-C?
"curiosity to love: My boyfriend has no confidence about our long-distance relationship, what can I do?","My boyfriend has no confidence about our long-distance relationship, what can I do?"
curiosity to admiration: Who is the worst famous philosopher in your opinion?,Who is the worst famous philosopher in your opinion?
curiosity to amusement: What's the funniest football related photo you've ever seen?,What's the funniest football related photo you've ever seen?
"curiosity to confusion: How do porn stars, adult entertainers and adult entertainment enthusiasts become independent contractors?","How do porn stars, adult entertainers and adult entertainment enthusiasts become independent contractors?"
curiosity to confusion: If my ATM card is blocked for online transactions then how do i restart it?,If my ATM card is blocked for online transactions then how do i restart it?
love to curiosity: How could I improve my love to my girlfriend?,How do I improve my relationship with my girlfriend?
curiosity to confusion: How can high-carb and low-fat vegans lose weight if they're eating so many calories and sugar?,How can high-carb and low-fat vegans lose weight if they're eating so many calories and sugar?
anger to curiosity: Can you tell me who the Quora asshole is that keeps sending me emails at 3.45 am I would like to wake him/her up at 3am?,Can you tell me who the Quora asshole is that keeps sending me emails at 3.45 am I would like to wake him/her up at 3am?
confusion to curiosity: I don't know anything about credit cards. How can I use a credit card?,Everything I need to know about credit card and how to use it?
optimism to curiosity: Help! I need motivation to lose weight. I need to lose 30 kilos?,How do I get motivation to lose weight?
confusion to curiosity: Why is India not a member of NATO?,What is the NATO organization? Is India a member of NATO or not?
fear to curiosity: How do I move past my fear and learn options?,How do I move past my fear and learn options?
confusion to curiosity: How do I unblock SBI ATM Card if its blocked by wrong pin?,How can one setup the ATM PIN for a new ATM card?
curiosity to confusion: How can find my user name and password in IRCTC by my register mobile number or Email ID?,How can find my user name and password in IRCTC by my register mobile number or Email ID?
annoyance to curiosity: Who is the most annoying contestant in Bigg Boss 10 and why?,Who is the most annoying contestant in Bigg Boss 10 and why?
curiosity to confusion: What is the best bicycle to buy in the range of 10k?,What is the best bicycle to buy in the range of 10k?
curiosity to admiration: Which is the best hindi movie in 2016?,Which is the best hindi movie in 2016?
"admiration to curiosity: What is a good restaurant in Paris, near Chaussée d'Antin?",What's the best restaurant in Paris?
curiosity to sadness: Should the United Kingdom apologise to India for imposing colonialism?,Will Britain at least apologize for the sins caused during the colonization of India?
sadness to love: Should I feel jealous that my boyfriend wants to hang out with a girl alone even though I let him?,Should I feel jealous that my boyfriend wants to hang out with a girl alone even though I let him?
curiosity to admiration: What are my advantages if I have cracked the GATE examination with good marks in civil engineering?,What are my advantages if I have cracked the GATE examination with good marks in civil engineering?
amusement to curiosity: What is the full form of L.L.B. and L.L.M.?,How do I manually upgrade my Android 4.4.4 to 5.1 Lolipop?
surprise to curiosity: How can some people believe in God?,How can some people believe in God?
curiosity to confusion: How can I reset password of Instagram account without email?,How can I reset password of Instagram account without email?
curiosity to admiration: What are the best PC games that can be played on laptop?,What are the best PC games that can be played on laptop?
"curiosity to confusion: I am skinny, is it still unhealthy to consume lots of sugar daily?","I am skinny, is it still unhealthy to consume lots of sugar daily?"
sadness to curiosity: I have an untreatable and life-long disabling neurological disease. What is the easiest and most painless way I can commit suicide?,I have an untreatable and life-long disabling neurological disease. What is the easiest and most painless way I can commit suicide?
curiosity to sadness: Can one successfully diagnose himself when it comes to depression?,"Why do I sometimes try to ""one-up"" others when it comes to sad and depressing stories?"
curiosity to confusion: What statements has Stephen Bannon made that qualify as bigotry?,What statements has Stephen Bannon made that qualify as bigotry?
confusion to curiosity: I just can't insert a tampon. How do I do it?,How do you put a tampon in?
"love to curiosity: How should I keep love relationship going on, when my girlfriend will go abroad to study for two years?",How can I study for go to Harvard university on freshmen year through senior year?
confusion to sadness: I had unprotected sex with an escort four days ago. What should I do?,"When I was sleeping a couple of days ago, I woke up and I still had pain from my dream. I moved my foot and the pain went away. Why?"
"curiosity to confusion: If someone shot me in the head with a .500 Smith & Wesson Magnum, would I die?","If someone shot me in the head with a .500 Smith & Wesson Magnum, would I die?"
admiration to curiosity: What are the best good morning messages?,Which are some of the best good morning / motivatonal messages?
approval to curiosity: I was told that Warframe was a much better game than Destiny. True?,Is Warframe better than Destiny?
curiosity to fear: What are the best ways to calm yourself down when you are alone and afraid of ghosts at night?,"As an atheist, are you afraid of ghosts?"
sadness to curiosity: What is the quickest and less painful way to commit suicide?,What is the quickest and less painful way to commit suicide?
curiosity to admiration: What are some cool C programming projects?,What are some cool C programming projects?
admiration to curiosity: Which is the best book to learn Python 3.x?,What are the best online tutorials or books for learning Python 3?
"gratitude to curiosity: Can I say ""thank you too"" when someone say ""thank you"" to me?",Can people with very bad eyesight go blind?
curiosity to admiration: What is a good way to approach my child's social life?,What is a good way to approach my child's social life?
curiosity to confusion: How can I become more articulate?,How can I become more articulate?
curiosity to caring: Can you offer me any advice on how to lose weight?,Can you offer me any advice on how to lose weight?
fear to curiosity: How do I cope with fear?,How do I cope with fear?
curiosity to anger: How can I lower my libido?,What is the worst thing you can say to a guy to lower his self esteem?
curiosity to admiration: What are the best machine learning online courses?,What are the best machine learning online courses?
curiosity to admiration: What is the best laptop within 60k available in India?,What is the best laptop within 60k available in India?
"confusion to curiosity: Instagram (product): How can I login to Instagram if I don't remember the password, and I dont know the email address that was used to set up the account?",How can I hack my instagram account if I don't remember the email that I used to sign up for the account with?
anger to curiosity: I hate everyone?,I hate everyone?
curiosity to confusion: Can you refuse amputation?,Can you refuse amputation?
amusement to curiosity: What's the funniest prank you've ever seen?,What is the funniest prank?
"curiosity to gratitude: How do you say ""thank you"" in Spanish?","How do you say ""thank you"" in Spanish?"
curiosity to amusement: How do I make YouTube videos funny?,How do I make YouTube videos funny?
"approval to curiosity: New Uberx driver in far suburb. Two partial days online. 13 rides. One tank of gas. $120 earned. Is this normal, or do I need to learn more?",What're the job opportunities after long gap of 6 years after graduation?
curiosity to confusion: What is the best passive investment strategy?,What is the best passive investment strategy?
"curiosity to sadness: I am unable to talk to girls, leave being friendly with them. why?",I am 23. I am shy and unable to talk to any girl because i get nervous and freaked out around them. What is the solution?
curiosity to confusion: Why do I have so many questions to ask?,Why do I have so many questions to ask?
admiration to curiosity: What's good song for a best friend lyric prank?,What are some good songs to make a texting lyric prank?
curiosity to confusion: Where can I get laid?,Where can I get laid?
curiosity to fear: What is the basic programming used by Google it all Android and applications?,"First job, college, terrible.I cant go far in life, have no friends.Suicide is near.Help?"
curiosity to admiration: Which are some best photographs taken by you?,Which are some best photographs taken by you?
confusion to fear: Am I pregnant? We used a condom it did not break but I think I was fertile that time. I took nordette though,I have PCOS and I'm worried I might be pregnant but is it possible for a pregnancy test to say you're not even though you are?
"admiration to curiosity: Is PhD in Applied Physics at Southern Illinois University, Carbondale good?",What is it like to study Applied Physics at IITs?
admiration to curiosity: What's a good first name for a caveman?,What are some good middle names for the first name Bryce?
curiosity to sadness: What are some good songs to listen to when you're angry?,What are the best songs to listen to when you feel sad?
curiosity to love: How do you know that you have actually won a Pulitzer?,How do you know that you have actually won a Pulitzer?
admiration to curiosity: What are the most amazing photos you have ever taken?,What's your favorite picture you've found online?
"curiosity to love: What is the intended meaning of ""live by the sun, love by the moon""?","What is the intended meaning of ""live by the sun, love by the moon""?"
"desire to confusion: I want my boyfriend to touch my boobs, what should I do?","I want to always touch my boyfriend, but I don't know if he feels the same or not.What should I do?"
curiosity to surprise: What are some of the most shocking facts?,What are the most shocking facts that I can learn?
confusion to curiosity: Am I being judgmental if I tell a person that he/she is judgmental?,Is it okay to judge people?
curiosity to confusion: I forgot my Facebook password and email password. How can I log into Facebook?,I forgot my Facebook password and email password. How can I log into Facebook?
confusion to curiosity: Why is Indonesia not an Islamic nation?,Why is Indonesia Muslim?
curiosity to admiration: It is possible we got the ticket from Mumbai to Varanasi in months of April if my net speed 20mbps seed? Can I book tickets for this net speed?,It is possible we got the ticket from Mumbai to Varanasi in months of April if my net speed 20mbps seed? Can I book tickets for this net speed?
"anger to curiosity: Since I'm single and lonely, should I get angry enough to knock out a couple with brass knuckles?","Since I'm single and lonely, should I get angry enough to knock out a couple with brass knuckles?"
anger to curiosity: How can I convince my girlfriend to allow me to fuck her in the ass?,How can I convince my girlfriend to allow me to fuck her in the ass?
"love to curiosity: My ex has just left me she said she doesn't love me but we still talk, how can I get her back?",How do I get my ex boyfriend back?
curiosity to desire: What is law school like?,What is law school like?
love to curiosity: Can you love two people at the same time?,Do you believe that you can be in love with two people at the same time?
admiration to curiosity: What are the best podcasts and why are they so good to listen to?,What are some good podcasts to listen to?
excitement to curiosity: What makes you excited to go to work everyday?,My boss will promote me to a higher post only if I have sex with her. What should I do?
confusion to curiosity: Instagram reset my password but I don't know my email password to receive my new password. What do I do?,What do I do if Instagram has reset my password?
admiration to sadness: I am an okay looking young women but I am always feeling ugly since I'm not extremely beautiful. How can I stop those thoughts?,I haven't talked to my parents for a month and am so quiet at home. I feel guilty to keep living and always see myself as a burden. How can I be a normal person? Am I okay?
fear to curiosity: Is Coca-Cola dangerous to drink?,Is Coca-Cola dangerous to drink?
curiosity to love: Is LEGO movie proof that Hollywood is running out of ideas?,Is LEGO movie proof that Hollywood is running out of ideas?
confusion to curiosity: Why do questions I answer almost immediately get marked as needing improvement? Is it something I said?,"How can Quora react so quickly to submitted questions, so that they get marked as needing improvement?"
annoyance to curiosity: My employer terminated me and said I can never speak to anybody at work again. Is this breaking employment/labor laws?,My employer terminated me and said I can never speak to anybody at work again. Is this breaking employment/labor laws?
curiosity to confusion: How much video can you record with an iPad Air 16 GB in hours?,How much video can you record with an iPad Air 16 GB in hours?
curiosity to admiration: How do the rich eat and look good?,How do the rich eat and look good?
confusion to curiosity: I was going to buy an MSI gaming laptop but I heard that it gets spoilt very easily. People also said that they use cheap parts. Is it true? If not MSI then which company is the best replacement?,Are MSI laptops as durable and long lasting as Macbook Pro?
curiosity to confusion: Why is the color in older films more vibrant and saturated? Why don't contemporary films employ the same effect?,Why is the color in older films more vibrant and saturated? Why don't contemporary films employ the same effect?
curiosity to admiration: What is the best line of literature ever?,What is the best line of literature ever?
curiosity to confusion: What programming language is best (easiest) to learn first?,What programming language is best (easiest) to learn first?
curiosity to confusion: Why did you decide to major in machine?,Why did you decide to major in machine?
confusion to curiosity: What should I do if I have no wisdom teeth?,What are wisdom teeth and their problems?
admiration to curiosity: How can I create one of the best slogans for a student council?,What is hireica?
confusion to curiosity: Should I leave Clindamycin Phosphate gel to dry on my face after applying it or should I wash it off?,Why are my hands always dry even after I apply lotion?
fear to curiosity: How can I get rid of fear?,How can I get rid of fear?
admiration to curiosity: What are some great side dishes for chicken and rice?,What are some great side dishes for grilling steak?
confusion to curiosity: Can I sue someone for defamation if that person said to another person privately that I have a mental illness that I don't have?,Is it possible to sue yourself and win?
curiosity to desire: What are some good interview questions for a DevOps position?,What are some good interview questions for a DevOps position?
anger to curiosity: How can I control on my anger?,How can I control on my anger?
admiration to curiosity: Which country has most beautiful girls?,Which country has the most beautiful girls? Why?
love to curiosity: Is it possible to find love like Nagisa and Tomoya have in the anime Clannad?,"What is Nagisa's role in the anime ""Clannad""?"
curiosity to admiration: What are the best Indian colleges that accept CIE board and can provide direct entries for A ranking students?,What are the best Indian colleges that accept CIE board and can provide direct entries for A ranking students?
admiration to curiosity: What are the best peaceful locations in India for holiday?,What are the best holiday places in India?
confusion to curiosity: How do I disable view notifications on Quora?,How do I disable notification in Quora?
admiration to curiosity: What are some good software companies in Hyderabad that work on very good high-end Java projects in depth?,"I need to find a designer and someone who is very good at maths for a software project I am working on, where do I look?"
curiosity to confusion: Why is the Karnataka capital not located at the coast?,Why is the Karnataka capital not located at the coast?
admiration to curiosity: What is the best prank that you have ever done?,What was the best prank you ever pulled on someone?
"realization to confusion: I m a 3rd year CS engineering student,now I realized that i am interested in Biology.So should I go for medical or complete my engineering?","I m a 3rd year CS engineering student,now I realized that i am interested in Biology.So should I go for medical or complete my engineering?"
approval to curiosity: What is something that you believe to be true that very few people agree with you on?,What is the character or theory that you believe to be true while most people don't? Why?
curiosity to amusement: Which is the best joke you have ever heard?,Which is the best joke you have ever heard?
curiosity to surprise: Which is the best Hollywood suspense movie that keeps you thrilled for almost a day?,What are the best movies with shocking/surprising endings?
love to curiosity: Is it possible for people to love 2 person at the same time?,Do you believe that you can be in love with two people at the same time?
admiration to curiosity: How can I be great at math?,How can I get better in math?
"love to curiosity: What do I do about the girl I love at 13 yrs old, yet she is my science teachers daughter?",Is Trump’s victory the beginning of the end of Aleppo city tragedy?
curiosity to love: What is means love?,What is means love?
curiosity to admiration: What are some new and innovative projects for a computer science engineering student?,What are some new and innovative projects for a computer science engineering student?
admiration to curiosity: Where is the most beautiful place in Pakistan?,What are some places to visit in Pakistan?
"curiosity to optimism: How do I find someone's user ID in Facebook, even though, their ID is hidden?","How do I find someone's user ID in Facebook, even though, their ID is hidden?"
curiosity to confusion: Why can't I see my own upvotes on the Android App?,Why can't I see my own upvotes on the Android App?
confusion to curiosity: Why won't Richard Muller answer my question?,How do I get Richard Muller answer my questions?
curiosity to admiration: What is the Hulk weakness?,What is the Hulk weakness?
"remorse to curiosity: How do I fix ""Facebook sorry there was a problem with this link"" when I link to my website from Facebook?","How do I fix ""Facebook sorry there was a problem with this link"" when I link to my website from Facebook?"
curiosity to love: What are the sweetest moments in a long distance relationship?,What are the sweetest moments in a long distance relationship?
curiosity to confusion: What is the logic behind how Facebook Messenger lists out active friends?,What is the logic behind how Facebook Messenger lists out active friends?
fear to curiosity: Why are dogs afraid of fireworks?,Why are dogs afraid of fireworks?
love to curiosity: I want to get a private (single engine) pilot license but would also love to fly gliders. Is it advisable to start with a glider pilot course first? Why?,"Do pilots with a private pilot license have to log a certain number of hours each year to maintain their license? If so, how many?"
curiosity to confusion: How do I find questions on Quora which have no answers?,How do I find questions on Quora which have no answers?
"love to curiosity: Love mathematics, stats, comp SC. but I dnt what to do after bsc mathemtics from BHU. any suggestion?",What is a possible Model United nations crisis? (Topic:International terrorism Committee:EU)
admiration to curiosity: What country do you consider the most beautiful? (Best-looking people),Which country has the most beautiful girls? Why?
curiosity to anger: What's the worst tasting thing you have ever actually eaten?,What's the single worst thing you've ever had to eat?
curiosity to amusement: What are the limitations of c++?,What are the limitations of c++?
desire to curiosity: I want to see if my girlfriend will make effort like me to have me in her life. Am I thinking wrong?,"What companies in Tuscaloosa, AL have the best employee benefits?"
love to curiosity: Does love exist?,Why does love exist?
amusement to curiosity: What are some of the funniest jokes you've ever heard?,"What is the funniest joke you ever told, heard, or read?"
curiosity to love: How would you know if someone is your true love?,How would you know if someone is your true love?
annoyance to curiosity: Is it possible to be smart but feel stupid?,Is it possible to be smart but feel stupid?
confusion to curiosity: Should I get a Dribbble Pro account?,"If I have an account on Dribbble and create design pieces in a Dribbble style, is there any advantage for me if I apply for an MFA program in the US?"
love to curiosity: Does love and relationship comes after sex?,What is importance of sex in life?
curiosity to admiration: Is bank PO tough?,Is bank PO tough?
"curiosity to desire: I have a website built in China, and the server is in Hong Kong. Which copyright law should I put on my website?","I have a website built in China, and the server is in Hong Kong. Which copyright law should I put on my website?"
curiosity to confusion: Why is my freezer cold but refrigerator is not?,Why is my freezer cold but refrigerator is not?
fear to confusion: Why am I not afraid to die?,Why am I not afraid to die?
curiosity to admiration: How do I start a youtube channel for cosmetics?,How do I start a youtube channel for cosmetics?
curiosity to confusion: As a international my school does not provide ap classes? will these ap courses increase my chance to top usa elite colleges?,As a international my school does not provide ap classes? will these ap courses increase my chance to top usa elite colleges?
curiosity to anger: How do I create a reliable test assesment?,What makes a test assesment reliable?
"admiration to curiosity: What is the best (nicest) supermarket chain in Sydney, Australia?",How do supermarkets prevent petty theft?
confusion to curiosity: I know there are 2 types of patents: Utility Patents and Design Patents. Which category does the cure for a disease fall under?,Are doctors ignorant towards finding the underlying principles of a disease?
"curiosity to confusion: Can I make over 50,000 a month playing poker?","Can I make over 50,000 a month playing poker?"
curiosity to admiration: I am constantly being compared to my cousin. She is beautiful while I'm not. How do I prevent myself from becoming depressed when being compared?,I am constantly being compared to my cousin. She is beautiful while I'm not. How do I prevent myself from becoming depressed when being compared?
"confusion to curiosity: Should college athletics programs strive for racial diversity? If not, what makes them different from academic programs?",Why are BJP party workers so violent and aggressive?
confusion to curiosity: Why don't I have Instagram live even though I updated?,Why does it say following under only a couple of my followers names in Instagram even though I'm following most? Is this a glitch?
love to curiosity: How can I get over somebody I really love?,How do I get over somebody?
confusion to curiosity: My dad cheats. What should I do?,"I recently found my dad is cheating on my mom, what should I do?"
sadness to curiosity: I have an untreatable and life-long disabling neurological disease. What is the easiest and most painless way I can commit suicide?,I have an untreatable and life-long disabling neurological disease. What is the easiest and most painless way I can commit suicide?
curiosity to annoyance: What should I say when a girl wants to break up with me?,"She says she doesn't want me to hate her if we break up, that's why she won't date me. What does this mean?"
confusion to curiosity: What happens to my muscles if I don't take some form of protein RIGHT before I sleep? ,"After heavy weight lifting workout, if I don't eat any proteins, will my body use my fats to recover the muscles and make me more lean?"
curiosity to admiration: What are some easy and vegan Indian recipes?,What are some easy and vegan Indian recipes?
sadness to curiosity: He dumped me. He said he simply doesn't have the same feelings for me anymore. I'm devastated. How can I deal with this pain?,He dumped me. He said he simply doesn't have the same feelings for me anymore. I'm devastated. How can I deal with this pain?
"curiosity to confusion: Got a FB notification saying ""Do you know Mr.X?"".Why am I getting such notifications?","Got a FB notification saying ""Do you know Mr.X?"".Why am I getting such notifications?"
curiosity to anger: What's the best thing about Facebook and what's the worst thing?,What are the worst things about Facebook?
admiration to curiosity: Who is the most amazing/badass person you ever knew?,"Who is most coolest, badass person you know or ever heard for?"
