input_text,target_text
"sadness to disappointment: In the late 1980s, the city's economy suffered from the nationwide recession.","The late 1980s recession had a detrimental effect on the city's economy, which was part of the nationwide trend."
"admiration to approval: In 2014 Paris received 22.4 million visitors, making it one of the world's top tourist destinations.","The number of tourists visiting Paris in 2014 reached 22.4 million, placing it among the world's most sought-after tourist destinations."
"sadness to disappointment: Four hundred automobile industry companies employ another 100,000 workers: many of these are centred in the Yvelines department around the Renault and PSA-Citroen plants (this department alone employs 33,000), but the industry as a whole suffered a major loss with the 2014 closing of a major Aulnay-sous-Bois Citroen assembly plant.","The closure of a major Citroen assembly plant in Aulnay-sous-Bois in 2014 dealt a significant blow to the French automobile industry, which employs 100,000 workers across 400 companies, many of which are located in the Yvelines department around the Renault and PSA-Citroen plants."
"disappointment to disapproval: A fundamental error was the belief that a force is required to maintain motion, even at a constant velocity.","The erroneous belief that motion requires a force, even when velocity is constant, was a fundamental mistake."
"admiration to approval: The Port of Plymouth Regatta is one of the oldest regattas in the world, and has been held regularly since 1823.","Since 1823, the Port of Plymouth Regatta has been held regularly, and it is recognized as one of the oldest regattas globally."
"admiration to approval: An anthropology of the state developed, and it is a most thriving field today.",The field of anthropology of the state has developed and is now flourishing.
"admiration to approval: He appreciated the advantages of democracy: ""It is an invaluable gift, if God allows a people to freely elect its own authorities and overlords.""","He respected the advantages of democracy, highlighting that it is an immeasurable asset when a people are given the freedom to choose their own leaders and overlords."
"sadness to disappointment: Portugal lost much of its wealth and status with the destruction of Lisbon in a 1755 earthquake, occupation during the Napoleonic Wars, and the independence of Brazil, its wealthiest colony, in 1822.","The destruction of Lisbon in 1755, the Napoleonic Wars' occupation, and Brazil's independence in 1822, its wealthiest colony, resulted in Portugal losing much of its wealth and status."
"admiration to disappointment: Somerset House in London, designed by Sir William Chambers in 1776 for government offices, was as magnificent as any country house, though never quite finished, as funds ran out.","Sir William Chambers designed Somerset House in London in 1776 for government offices, but it was never fully completed due to a shortage of funds, despite its grandeur that could match any country house."
sadness to disappointment: The educational infrastructure has been seriously degraded as a result of political and economic crises.,Political and economic crises have caused serious degradation of the educational infrastructure.
approval to disappointment: Public transport is essential in New York City.,"Without public transportation, New York City would struggle to operate efficiently."
approval to caring: Use of caution is therefore recommended when interpreting changes in the racial composition of the US population over time.,It is advisable to be wary when interpreting changes in the racial demographics of the US population over time.
excitement to approval: It is the color of celebration and ceremony.,It is the tone of rejoicing and formal gatherings.
"fear to nervousness: With the German occupation of Western Europe, the intensification of submarine and air attack on Britain's sea communications was feared by the British.","Following the German occupation of Western Europe, the British were anxious about the increased submarine and air attacks on their sea communications."
"anger to annoyance: For example, interpersonal anger and disgust could blend to form contempt.",An example of how contempt can be formed is through the blending of interpersonal anger and disgust.
"admiration to approval: The leaders of the Republic developed a strong tradition and morality requiring public service and patronage in peace and war, making military and political success inextricably linked.","The leaders of the Republic established a strong tradition and moral code that demanded public service and support in both peace and war, linking military and political success together."
"admiration to approval: John's invasion, striking into the Welsh heartlands, was a military success.","John's military operation, targeting the Welsh heartlands, achieved its objective."
confusion to disapproval: Scholars and historians are divided as to what event signals the end of the Hellenistic era.,There is a lack of consensus among scholars and historians on the event that denotes the end of the Hellenistic age.
"admiration to approval: Seattle is widely considered one of the most liberal cities in the United States, even surpassing its neighbor, Portland, Oregon.","Seattle is widely regarded as one of the most liberal cities in the US, even outpacing Portland, Oregon, its neighboring city."
"admiration to approval: Though it was affected by the Great Recession, Seattle has retained a comparatively strong economy, and remains a hotbed for start-up businesses, especially in green building and clean technologies: it was ranked as America's No.","Despite the challenges posed by the Great Recession, Seattle has managed to maintain a strong economy and continues to attract start-up companies, particularly those focused on green building and clean technologies. Its ranking as America's No."
"joy to approval: Two years later, in 2000–01, Liverpool won the FA Cup, League Cup and UEFA Cup to complete a cup treble.","The FA Cup, League Cup, and UEFA Cup were all won by Liverpool in 2000-01, completing a cup treble two years after their previous success."
excitement to joy: Several Germanic tribes celebrated the returning of the daylight.,The return of daylight was a cause for celebration among several Germanic tribes.
amusement to joy: Sherman Ave is a humor website that formed in January 2011.,"January 2011 marked the inception of Sherman Ave, a website devoted to humor."
"admiration to approval: Today, Signal Hill is a National Historic Site of Canada and remains incredibly popular amongst tourists and locals alike; 97% of all tourists to St. John's visit Signal Hill.","Signal Hill, a National Historic Site of Canada, is a highly popular attraction for both tourists and locals; almost all visitors to St. John's make a trip to the site."
"sadness to disappointment: The next 400 million years included repeated, massive biodiversity losses classified as mass extinction events.","Over the next 400 million years, there were several mass extinction events that led to significant declines in biodiversity."
"admiration to approval: All produced innovative research, including the opening of new subfields in embryology, endocrinology, and ecology, respectively, over a long period of time.","Over a prolonged period, they all conducted innovative research, leading to the emergence of new subfields in embryology, endocrinology, and ecology, respectively."
"realization to disapproval: Until the 1950s it was generally believed that the brain essentially shuts off during sleep, but this is now known to be far from true; activity continues, but patterns become very different.","Until the 1950s, it was widely believed that the brain essentially goes into hibernation during sleep, but this has been proven to be inaccurate as studies have shown that activity continues albeit with different patterns."
"annoyance to disappointment: Slow progress has led to frustration, expressed by executive director of the Global Fund to Fight AIDS, Tuberculosis and Malaria – Mark Dybul: ""we have the tools to end TB as a pandemic and public health threat on the planet, but we are not doing it.""","Slow progress has led to frustration, expressed by executive director of the Global Fund to Fight AIDS, Tuberculosis and Malaria – Mark Dybul: ""we have the tools to end TB as a pandemic and public health threat on the planet, but we are not doing it."""
"approval to fear: This has stark implications and has led to a dramatic rise in the number of households living below the poverty line, be it 300,000 in Bangladesh or 230,000 in Ghana.","This has serious consequences, causing a significant upsurge in the number of households living below the poverty line, be it 300,000 in Bangladesh or 230,000 in Ghana."
disgust to disapproval: Prognosis is worse if a mechanical complication such as papillary muscle or myocardial free wall rupture occurs.,"When a mechanical complication like a rupture in the papillary muscle or myocardial free wall occurs, the prognosis is more unfavorable."
admiration to approval: Southampton is a major UK port which has good transport links with the rest of the country.,The UK's Southampton port is a vital transportation center with convenient links to other parts of the country.
"admiration to approval: In 2015, ""The Saints"" finished 7th in the Premier League, their highest league finish in 30 years, after a remarkable season under new manager Ronald Koeman.","""The 2015 season saw ""The Saints"" achieve their best league finish in 30 years, securing the 7th position in the Premier League under the leadership of new manager Ronald Koeman."""
"admiration to approval: Southern California is famous for tourism and Hollywood (film, television, and music).","The entertainment industry, particularly Hollywood, and tourism are widely recognized in Southern California."
"admiration to disapproval: Spectre received mixed reviews upon its release; although criticised for its length, lack of screen time for new characters, and writing, it received praise for its action sequences and cinematography.","Spectre's release was met with a mixed reception, with its action sequences and cinematography receiving praise, while its length, lack of screen time for new characters, and writing were criticized."
"admiration to approval: The film received strong reviews with the review tallying website Rotten Tomatoes giving it a 92% approval rating, reporting that 206 out of the 225 reviews they tallied were positive.","The review aggregator website Rotten Tomatoes reported that the film received a 92% approval rating, with 206 out of 225 reviews being positive."
"admiration to approval: It is one of the world's top ten oceanside destinations, according to National Geographic Magazine.",It has been listed as one of the top ten oceanside destinations in the world by National Geographic Magazine.
"realization to disappointment: During this same time violent crime in the city decreased 6%, compared to a 1% decrease nationally.","The city's violent crime rate decreased by 6% during this period, whereas the national decrease was only 1%."
"sadness to disappointment: St. John's, and the province as a whole, was gravely affected in the 1990s by the collapse of the Northern cod fishery, which had been the driving force of the provincial economy for hundreds of years.","The collapse of the Northern cod fishery in the 1990s had a significant impact on St. John's and the province as a whole, as it had been the primary source of the provincial economy for centuries."
"joy to admiration: Surrounded by the Yangtze River and mountains, Nanjing also enjoys beautiful natural scenery.",Nanjing's natural landscape is made even more beautiful by the presence of the Yangtze River and mountains.
admiration to approval: Switzerland has one of the best environmental records among nations in the developed world; it was one of the countries to sign the Kyoto Protocol in 1998 and ratified it in 2003.,"Having signed and ratified the Kyoto Protocol in 1998 and 2003, Switzerland is recognized as one of the developed world's leaders in environmental stewardship."
"confusion to annoyance: The removal caused some controversy; as the update removed officially advertised features from already sold products, and gave rise to several class action lawsuits aimed at making Sony return the feature or provide compensation.",The removal of officially advertised features from previously sold products through an update caused controversy and led to multiple class action lawsuits aimed at Sony for compensation or feature restoration.
"sadness to disappointment: Further ruin was brought to Greece by the Roman civil wars, which were partly fought in Greece.","The Roman civil wars, which had an impact on Greece, worsened the country's situation."
"sadness to disappointment: It is this unfortunate distinction that has led to the club often being known as ""The Lovable Losers.""","The club's unfortunate label as ""The Lovable Losers"" is a result of its consistent lack of success."
disappointment to disapproval: The imperial policies of the Conservatives eventually proved unpopular and in the general election of 1906 the Liberals won a huge landslide.,"The Conservatives' imperial policies were met with disapproval, culminating in a sweeping victory for the Liberals in the 1906 general election."
admiration to approval: The European colonization of the Americas forever changed the lives and cultures of the peoples of the continents.,The colonization of the Americas by Europeans resulted in enduring changes to the peoples and cultures of the continents.
"admiration to approval: The Greek league, the A1 Ethniki, is considered one of the top volleyball leagues in Europe and the Greek clubs have made significant success in European competitions.","The A1 Ethniki, the volleyball league of Greece, is deemed one of the foremost leagues in Europe, and Greek teams have achieved substantial success in European tournaments."
"admiration to approval: The zoo received the Park Scout Award for the fourth year running in 2009/10, placing it among the best zoos in Germany.","The Park Scout Award was bestowed upon the zoo for the fourth consecutive year in 2009/10, affirming its position as one of Germany's top zoos."
realization to disappointment: The Hellenistic age also saw a rise in the disillusionment with traditional religion.,Traditional religion encountered mounting disillusionment during the Hellenistic period.
admiration to approval: The temple is a UNESCO World Heritage Site.,The temple has been granted World Heritage Site status by UNESCO.
"admiration to approval: The PlayStation 3 Slim received extremely positive reviews as well as a boost in sales; less than 24 hours after its announcement, PS3 Slim took the number-one bestseller spot on Amazon.com in the video games section for fifteen consecutive days.","The PS3 Slim's announcement resulted in a surge in sales and critical acclaim, leading it to become the top-selling video game product on Amazon.com for 15 straight days within a day of its unveiling."
"gratitude to admiration: Another consequence of the Protestant understanding of man is that the believers, in gratitude for their election and redemption in Christ, are to follow God's commandments.","In light of the Protestant conception of humanity, believers who have been elected and redeemed by Christ are expected to follow God's commandments as a way of expressing appreciation."
"excitement to joy: At the end of the training, a graduation ceremony takes place where all the local sangoma come together for feasting and dancing.","A ceremony is held to mark the end of the training, bringing together all the local sangoma for feasting and dancing."
admiration to approval: The Santa Monica Civic Auditorium was an important music venue for several decades and hosted the Academy Awards in the 1960s.,"Serving as a crucial music venue for several decades and hosting the Academy Awards in the 1960s, the Santa Monica Civic Auditorium was an important part of the entertainment industry."
"approval to realization: This period saw a fundamental transformation in scientific ideas across physics, astronomy, and biology, in institutions supporting scientific investigation, and in the more widely held picture of the universe.","During this period, there was a fundamental shift in scientific ideas in the fields of physics, astronomy, and biology, as well as in the institutions that supported scientific investigation, and in the more widely held picture of the universe."
"amusement to disappointment: It was a monumental failure, exploding a few seconds after launch, and it became an international joke.","The launch was a massive failure, with the rocket exploding shortly after being launched, resulting in it becoming a subject of international ridicule."
"joy to admiration: and became expansive and sang with joy!""",She grew lively and sang with exultation!
admiration to approval: The Super Slim model of PS3 has received positive reviews.,The Super Slim version of PS3 has been positively reviewed.
"joy to approval: This was a long period of prosperity for the British people, as profits gained from the overseas British Empire, as well as from industrial improvements at home, allowed a large, educated middle class to develop.","The British population experienced a prolonged era of prosperity due to the profits derived from the British Empire abroad and the advancements in industry at home, which allowed for the emergence of a considerable, educated middle class."
"sadness to disappointment: China's income fell sharply during the wars as vast areas of farmland were destroyed, millions of lives were lost, and countless armies were raised and equipped to fight the rebels.","The wars in China resulted in a significant drop in income as vast areas of farmland were destroyed, millions of lives were lost, and armies were raised and equipped to fight the rebels."
"admiration to confusion: is great enough to cast doubt on whether any strictly linguistic definition, without a socio-cultural approach, is possible.",The size of the problem is substantial enough to cast doubt on the feasibility of a linguistic definition that does not involve a socio-cultural approach.
disappointment to disapproval: The air offensive against the RAF and British industry failed to have the desired effect.,The air assault on the RAF and British industry did not meet the desired objective.
"admiration to approval: Their increased facility permits them to appreciate the ways in which language can be used to convey multiple messages, such as satire, metaphor, and sarcasm.","They now possess a greater understanding of the various ways in which language can be employed to express multiple meanings, including satire, metaphor, and sarcasm."
"admiration to approval: This work has been very influential in the West since it was translated in the 18th century, first by Antoine Galland.",Antoine Galland's 18th-century translation of this work has had a profound impact on the Western world.
disappointment to disapproval: The bombing failed to demoralise the British into surrender or significantly damage the war economy.,The bombing did not succeed in lowering the morale of the British or causing significant harm to the war economy.
"fear to sadness: The casualties were horrible, especially for the attacking Prussian forces.",The attacking Prussian army suffered a dreadful number of casualties.
admiration to approval: The city is also a leading center of popular culture and music.,Popular culture and music are integral to the city's identity as a leading center.
"approval to realization: On the positive side, the external debt burden has declined markedly over the last 20 years, and domestic debt is almost negligible; external debt as a percent of GDP was less than 20% in 2006.","Over the last 20 years, there has been a substantial reduction in the external debt burden, and domestic debt is almost non-existent. In 2006, external debt as a percentage of GDP was less than 20%."
"confusion to disapproval: Body fossils going back to the mid Ordovician, from 472 to 461 million years ago, have been tentatively classified as oligochaetes, but these identifications are uncertain and some have been disputed.","The mid-Ordovician period, which occurred between 472 and 461 million years ago, has yielded body fossils that have been tentatively classified as oligochaetes, but these classifications are not certain and have been disputed."
"confusion to realization: However, this understanding of homosexuality as sexual inversion was disputed at the time, and, through the second half of the twentieth century, gender identity came to be increasingly seen as a phenomenon distinct from sexual orientation.","The understanding of homosexuality as sexual inversion was questioned during that period, and gender identity was increasingly acknowledged as a separate phenomenon from sexual orientation throughout the second half of the 20th century."
confusion to disapproval: The evidence for saturated fat is unclear.,The attestation for saturated fat is inconclusive.
excitement to joy: Soul inspiring music is played and devotees dance in ecstasy.,The playing of music that inspires the soul leads to devotees dancing in ecstasy.
"sadness to disappointment: It is believed that the civilization was later devastated by the spread of diseases from Europe, such as smallpox.","The downfall of the civilization is believed to have been caused by the spread of European diseases, particularly smallpox."
"admiration to approval: Because of its effectiveness and popularity, the boardwalk was expanded in length and width, and modified several times in subsequent years.","The boardwalk's success and popularity led to multiple modifications and expansions in subsequent years, increasing its length and width."
"sadness to disappointment: The failure of IndyMac Bank on July 11, 2008, was the fourth largest bank failure in United States history up until the crisis precipitated even larger failures, and the second largest failure of a regulated thrift.","IndyMac Bank's failure on July 11, 2008, ranked as the fourth biggest bank failure in US history until the crisis caused even bigger failures, and it was also the second largest failure of a regulated thrift."
admiration to approval: It is home to rich fauna and flora.,The ecosystem here supports a thriving community of plants and animals.
sadness to disappointment: This resulted in the displacement and extinction of the once predominant Scythian languages of the region.,The displacement and extinction of the once-dominant Scythian languages in the region were caused by this.
"approval to realization: The terms ""analytical"" and ""synthetic"" which subsequently emerged have been widely accepted since the mid-1930s.","The mid-1930s saw the widespread acceptance of the terms ""analytical"" and ""synthetic""."
"disgust to disappointment: The worst was the Permian-Triassic extinction event, 251 million years ago.","251 million years ago, the Permian-Triassic extinction event was the worst of all."
"approval to realization: Comics has had a lowbrow reputation for much of its history, but towards the end of the 20th century began to find greater acceptance with the public and in academia.","Comics had a reputation for being low-class for much of their history, but towards the end of the 20th century, they began to gain more recognition from both the public and academic spheres."
"admiration to approval: The effectiveness of such a form is evident for instance in Sura 81, and there can be no doubt that these passages impressed the conscience of the hearers.","The efficiency of this form is clear in Sura 81, and there is no uncertainty that these sections influenced the conscience of the audience."
disappointment to disapproval: A second Home Rule bill was also defeated for similar reasons.,A second Home Rule bill was also turned down for identical causes.
sadness to disappointment: The loss of industrial and working-class jobs in the city has resulted in high rates of poverty and associated problems.,The lack of industrial and working-class jobs in the city has resulted in elevated poverty rates and associated problems.
"sadness to disappointment: Of every three Detroit residents, one lives in poverty.",Poverty is experienced by one in three Detroit residents.
"disappointment to disapproval: Organisations representing the relatives of Hillsborough victims described Miliband's action as an ""absolute disgrace"" and he faced criticism too from Liverpool Labour MPs and the city's Labour Mayor, Joe Anderson.","Miliband's actions were heavily criticized by organisations representing the relatives of Hillsborough victims, as well as Liverpool Labour MPs and the city's Labour Mayor, Joe Anderson, who all condemned his behavior as unacceptable."
excitement to approval: Recently a celebration has gained prominence in the northern part of the Sierra in the Chota Valley in Imbabura which is a zone of a strong afro-Ecuadorian population and so the Carnival is celebrated with bomba del chota music.,"The Carnival celebration with bomba del chota music has gained popularity in the Chota Valley of Imbabura, a zone with a strong afro-Ecuadorian presence in the northern part of the Sierra."
"admiration to disapproval: His use of flowery language to describe it, however, provoked both praise and criticism.","Nevertheless, his use of extravagant language to depict it generated both approval and disapproval."
"admiration to approval: Sumerian writing, while proven to be not the oldest example of writing on earth, is considered to be a great milestone in the development of man's ability to not only create historical records but also in creating pieces of literature both in the form of poetic epics and stories as well as prayers and laws.","Although not the oldest example of writing, Sumerian writing is recognized as a crucial step in human progress, as it enabled the creation of historical records, literature, prayers, and laws."
joy to admiration: It became a symbol of the Zionist reconstruction and of the ability to experience joy amidst austerity.,It became an icon of the Zionist renewal and the ability to find joy in the face of adversity.
"admiration to surprise: Having conquered Drangiana, Arachosia, Gedrosia and Seistan in ten days, Alexander crossed the Hindu Kush and was thus fully informed of the magnificence of the country and its riches in gold, gems and pearls.","Having defeated Drangiana, Arachosia, Gedrosia, and Seistan in just ten days, Alexander crossed the Hindu Kush and was amazed by the country's riches in gold, pearls, and gems."
"admiration to approval: In Wales the party enjoyed good successes, regaining control of most Welsh Councils lost in 2008, including the capital city, Cardiff.","The party in Wales achieved favorable results, recapturing control of several Welsh Councils that were lost in 2008, including the capital city of Cardiff."
disappointment to disapproval: The Code has been blamed for stunting the growth of American comics and maintaining its low status in American society for much of the remainder of the century.,The Code has been denounced for hampering the evolution of American comics and perpetuating its inferior position in American society for most of the century.
"confusion to curiosity: The racial preferences debate related to admission to US colleges and universities reflects competing notions of the mission of colleges: ""To what extent should they pursue scholarly excellence, to what extent civic goods, and how should these purposes be balanced?"".","The racial preferences debate related to admission to US colleges and universities reflects competing notions of the mission of colleges: ""To what extent should they pursue scholarly excellence, to what extent civic goods, and how should these purposes be balanced?""."
"sadness to disappointment: The reefs at Funafuti have suffered damage, with 80 per cent of the coral becoming bleached as a consequence of the increase in ocean temperatures and ocean acidification.","The increase in ocean temperatures and acidification has caused significant damage to the coral at Funafuti's reefs, with 80% of it becoming bleached."
admiration to approval: The region is well known for its Golconda and Hyderabad painting styles which are branches of Deccani painting.,"The Golconda and Hyderabad painting styles, which are subcategories of Deccani painting, are widely recognized in the area."
"approval to caring: In order to avoid all the dangers of sugar, moderate consumption is paramount.","To stay safe from the hazards of sugar, it is crucial to consume it moderately."
"sadness to disappointment: Austria lost over three million subjects, about one-fifth of her total population, as a result of these territorial changes.","The territorial changes caused Austria to lose over three million subjects, which is equivalent to approximately one-fifth of its total population."
"gratitude to caring: Divine consideration might be sought to avoid the inconvenient delays of a journey, or encounters with banditry, piracy and shipwreck, with due gratitude to be rendered on safe arrival or return.","In order to avoid the inconvenience of delays, banditry, piracy, and shipwreck during a journey, one may seek divine assistance and express gratitude upon safe arrival or return."
fear to nervousness: The situation became so tense that war with the United States seemed imminent.,The situation became so fraught with tension that it appeared as though a war with the United States was imminent.
admiration to approval: The state is well known for its handicrafts.,The handicrafts produced in the state are widely recognized.
admiration to approval: Himachali caps are famous art work of the people.,The locals' Himachali cap artwork is widely recognized.
"optimism to gratitude: In Europe, the war began disastrously for Prussia, but a combination of good luck and successful strategy saw King Frederick the Great manage to retrieve the Prussian position and retain the status quo ante bellum.","Despite a disastrous start to the war in Europe, Prussia was able to recover and maintain their pre-war position thanks to King Frederick the Great's successful strategy and a stroke of good luck."
sadness to disappointment: France was deprived of many of its colonies and had saddled itself with heavy war debts that its inefficient financial system could barely handle.,The heavy war debts and loss of numerous colonies left France struggling to manage its inefficient financial system.
"admiration to approval: Laypersons can perform good actions, producing merit.","Ordinary people can accomplish righteous actions, producing deserving merit."
"admiration to approval: The renewal of the historiographical approach as well as some recent discoveries, such as the tombs of Vergina, allow a better appreciation of this period's artistic richness.","Recent discoveries, including the tombs of Vergina, and the renewal of the historiographical approach have contributed to a better understanding of the artistic richness of this period."
caring to nervousness: There has been some concern over the potential adverse environmental and ecosystem effects caused by the influx of visitors.,There is some worry about the potential adverse environmental and ecosystem effects resulting from the influx of visitors.
"optimism to confusion: It remains to be seen if the drafted legislation will be fully adopted and financially supported by the current and future governments, and if the general populace will move towards a greater awareness of the importance of wildlife conservation and change the culture of wanton consumption to one of sustainable management.","It is still unknown whether the drafted legislation will be fully adopted and financially supported by current and future governments, and if the general public will move towards a greater awareness of the importance of wildlife conservation and shift from a culture of wanton consumption to one of sustainable management."
"realization to disappointment: However, with time, researchers noticed that the animals on the endangered species list still were not getting enough protection, thus further threatening their extinction.","Despite being listed as endangered, animals were not receiving enough protection, which researchers observed over time, further endangering their survival."
"optimism to desire: Being a growing democratic state, Armenia also hopes to get more financial aid from the Western World.","As a maturing democracy, Armenia is also seeking to receive more financial assistance from the Western World."
"sadness to disappointment: Many bird populations are declining worldwide, with 1,227 species listed as threatened by BirdLife International and the IUCN in 2009.","The global decline of bird populations is evident from the 1,227 species listed as threatened by BirdLife International and the IUCN in 2009."
"admiration to approval: Though they have wrestled around the world and continue to do so, wrestling bears enjoyed their greatest popularity in the Southern United States, during the 1960s and 1970s.","Despite wrestling around the world, wrestling bears enjoyed their highest popularity in the Southern United States during the 1960s and 1970s."
"joy to approval: The Pope does not paint an overly romantic picture of marriage: marital relations are a source of great joy, but also of difficulties and hardships.","The Pope's view of marriage is grounded in reality, recognizing that it can be both rewarding and challenging."
"admiration to approval: The Protestant work ethic remains a significant cultural staple, and free education is a highly prized institution.","The Protestant work ethic remains a significant cultural mainstay, and free education is a highly valued institution."
"gratitude to approval: Today, thanks to Paris' cosmopolitan population, every French regional cuisine and almost every national cuisine in the world can be found there; the city has more than 9,000 restaurants.","Paris' multicultural population has contributed to the city's diverse culinary scene, with over 9,000 restaurants offering French regional and international cuisines."
sadness to disappointment: Japanese industrial production plunged as nearly half of the built-up areas of 67 cities were destroyed by B-29 firebombing raids.,"Almost half of the built-up areas of 67 cities were destroyed by B-29 firebombing raids, causing a significant decline in Japanese industrial production."
"optimism to desire: I was hoping for a quick and merciful death at the hands of the reviewers but, at the same time, I sort of hoped someone would like it enough to give me encouragement.","I had hoped for a swift and merciful demise from the critics, but I also had a longing for someone to appreciate it enough to give me some motivation."
"gratitude to admiration: Victoria wrote to her uncle Leopold, whom Victoria considered her ""best and kindest adviser"", to thank him ""for the prospect of great happiness you have contributed to give me, in the person of dear Albert ...","In a letter to her uncle Leopold, whom Victoria held in high regard as her most trusted and compassionate advisor, she conveyed her appreciation for the happiness he had helped to bring into her life by introducing her to her beloved Albert."
joy to approval: He possesses every quality that could be desired to render me perfectly happy.,He has every characteristic that could make me perfectly satisfied.
admiration to approval: His Aeneid has been considered the national epic of ancient Rome from the time of its composition to the present day.,The Aeneid has been acknowledged as the national epic of ancient Rome from its creation to the present day.
"sadness to disapproval: However, the term printed wiring board has fallen into disuse.",The term printed wiring board is no longer popular.
"admiration to approval: It's a strong name, very universal and immediate.","This name is sturdy, widely applicable, and instantly recognizable."
"approval to disapproval: They want me to support their court case, a thing I cannot do for I know what I agreed with Madonna and her husband.""",I am unable to support their court case as I am aware of the agreement I made with Madonna and her spouse.
"confusion to disapproval: Supporters have also argued that DST decreases energy consumption by reducing the need for lighting and heating, but the actual effect on overall energy use is heavily disputed.","Supporters of DST have claimed that it lowers energy consumption by decreasing the demand for lighting and heating, but the actual impact on total energy use is widely disputed."
caring to fear: A concern is that UV light may leak from a malfunctioning light source and cause harm to human eyes or skin.,The fear is that a malfunctioning light source may emit UV radiation and pose a danger to human skin or eyes.
"confusion to disapproval: Although reaction towards its performance improvements, security enhancements, and improved support for touchscreen devices was positive, the new user interface of the operating system was widely criticized for being potentially confusing and difficult to learn (especially when used with a keyboard and mouse instead of a touchscreen).","Despite the positive feedback on the operating system's performance improvements, security enhancements, and better touchscreen compatibility, its new user interface was widely criticized for its potential to be perplexing and challenging to learn (particularly when used with a keyboard and mouse)."
"sadness to disappointment: With such a high percentage of children working, the rising of illiteracy, and the lack of a formal education became a widespread issue for many children who worked to provide for their families.",The high percentage of children working led to a widespread problem of illiteracy and lack of formal education among many who worked to support their families.
admiration to approval: The battle proved to be a decisive victory for the Allies.,The Allies achieved a decisive victory in the battle.
"realization to disappointment: Through the 5th and 6th centuries, the dramatic events of the repeated Samaritan revolts reshaped the land, with massive destruction to Byzantine Christian and Samaritan societies and a resulting decrease of the population.","During the 5th and 6th centuries, the repeated Samaritan revolts caused significant changes to the land, resulting in the destruction of Byzantine Christian and Samaritan societies and a decline in population."
"disappointment to disapproval: Since very few people owned 16:9 displays, the marketability of these special discs was very limited.","Since very few people owned 16:9 displays, the marketability of these special discs was very limited."
"disappointment to disapproval: The United Kingdom and Ireland experimented with year-round DST from 1968 to 1971 but abandoned it because of its unpopularity, particularly in northern regions.","Year-round DST was tested by the United Kingdom and Ireland from 1968 to 1971, but it was discontinued due to its unpopularity, especially in the northern regions."
joy to desire: Really the only thing I ask for is that you enjoy this trip and that it bring you happiness.,My only wish is that you enjoy this trip and that it brings you happiness.
admiration to approval: He said: ‘We’ve got Robin van Persie and Wesley Sneijder who is one of the best players in the world in my opinion.,"He affirmed that Robin van Persie and Wesley Sneijder, who he deems one of the best players in the world, are members of our team."
"optimism to gratitude: A lot has been learned about new coronaviruses over the past 10 years by studying the SARS virus because the National Institutes of Health have continued to support research on it, Denison says, adding that he's hopeful that knowledge could be ""potentially applied towards vaccines,"" if MERS-CoV develops into a pandemic.","The SARS virus has been a valuable subject of study over the past decade, leading to a wealth of knowledge about new coronaviruses, thanks in part to the National Institutes of Health's research support, according to Denison. He expresses hope that this knowledge could be applied to vaccine development in the event of a MERS-CoV pandemic."
sadness to disappointment: industry which has suffered years of decline.,An industry that has been in decline for several years.
"disappointment to remorse: What a waste: Patricia was spending all her money and time drinking wine, and now regrets not having had a career or any children .",Patricia's indulgence in wine has led to her feeling remorseful for not having pursued a career or having children.
"excitement to joy: When she did, she was 'thrilled', she said.","She shared her joy by expressing that she was ""thrilled"" when it occurred."
"love to realization: Beloved: The original members of Walmington-on-Sea Home Guard, pictured, appreciated the irony that all of them had stumbled into fame after decades of obscurity.","The original Walmington-on-Sea Home Guard members, portrayed in the picture, realized the irony that they had all achieved fame after years of being unnoticed."
"approval to disappointment: Oh, sure, Hollywood is seen as a liberal bastion where folks talk about equality and supporting civil rights, but when it comes to telling stories that have mostly black casts, Hollywood might as well return to the '50s and '60s and erect signs that say ""Whites Only.""","Although Hollywood is often associated with progressive values and social justice, its failure to produce films with predominantly black casts suggests a return to the discriminatory practices of the past."
"gratitude to disapproval: When Lucas approached the major Hollywood studios about backing ""Red Tails,"" he was told: Thanks, but no thanks.","Lucas received a negative response from the major Hollywood studios when he asked for their backing of ""Red Tails."""
"admiration to disappointment: And Dennis sold this great script to the studios, but he left the character descriptions out.","Dennis made a sale of his fantastic script to the studios, but he missed out on the character descriptions."
disappointment to disapproval: Nelson appealed but lost in 1995.,Nelson's appeal was denied in 1995.
"caring to desire: are praying that Obama will be a success and a leader for peace, .",A prayerful wish is for Obama to succeed and become a leader of peace.
"disappointment to disapproval: However, the first round of contributions still fall well short of the $300 billion the International Energy Agency says would be required to achieve universal electricity access in sub-Saharan Africa by 2030.","The initial contributions towards achieving universal electricity access in sub-Saharan Africa by 2030 are insufficient, as they fall significantly short of the $300 billion target set by the International Energy Agency."
caring to sadness: Joy: Graham Wagstaff was so ill with lung disease that he feared he wouldn't live to see daughter Helen's wedding day - let alone walk her down the aisle .,Joy: Graham Wagstaff was so ill with lung disease that he feared he wouldn't live to see daughter Helen's wedding day - let alone walk her down the aisle .
admiration to surprise: He said: 'It’s amazing that someone saying ‘yes’ to organ donation has led to me getting my life back.,He noted with surprise that a person's willingness to donate their organs had led to him recovering his life.
"joy to admiration: one of the best moments of my life, I’ll never forget it.",I'll always cherish that moment as one of the greatest in my life.
